school,homepage,name,areas
Worcester Polytechnic Institute,http://www.wpi.edu/academics/facultydir/cls.html,Candace L. Sidner,"[""nlp"",""robotics""]"
Princeton University,https://www.cs.princeton.edu/~chazelle/,Bernard Chazelle,"[""hpc"",""graph"",""vision"",""act""]"
University of Arizona,http://www.cs.arizona.edu/~greg/,Gregory R. Andrews,"[""sec"",""soft""]"
Michigan State University,http://www.cse.msu.edu/~ptan/,Pang-Ning Tan,"[""comm"",""mlmining""]"
University of Texas - Austin,http://www.cs.utexas.edu/~bwaters/,Brent R. Waters,"[""sec""]"
Massachusetts Institute of Technology,http://people.csail.mit.edu/fredo/,Frédo Durand,"[""graph"",""plan"",""vision""]"
University of Rochester,http://www.cs.rochester.edu/~lane/,Lane A. Hemaspaandra,"[""ai""]"
UNSW,http://www.google.com/search?q=Yang%20Wang%200002%20UNSW&btnI,Yang Wang 0002,"[""ai"",""vision"",""mlmining""]"
Monash University,http://monash.edu/research/explore/en/persons/ann-nicholson(c9c984f3-4125-45fb-8e7f-773fedcda8a4).html,Ann E. Nicholson,
Georgia Institute of Technology,http://www.cc.gatech.edu/fac/Santosh.Pande/,Santosh Pande,"[""soft"",""comm"",""arch"",""plan""]"
University of Waterloo,https://cs.uwaterloo.ca/~browndg/,Daniel Gregory Brown,
Rochester Institute of Technology,https://www.cs.rit.edu/~ark/,Alan Kaminsky,
Simon Fraser University,https://www.cs.sfu.ca/~ter/,Eugenia Ternovskaia,
University of California - Irvine,https://www.ics.uci.edu/~irani/,Sandy Irani,"[""act"",""da""]"
Max Planck Institute,http://ojs.dagstuhl.de/index.php/lites/search/authors/view?firstName=Bj%C3%B6rn&middleName=Bernhard&lastName=Brandenburg&affiliation=Max%20Planck%20Institute%20for%20Software%20Systems%20(MPI-SWS)&country=DE,Björn Bernhard Brandenburg,
ETH Zurich,https://www.inf.ethz.ch/personal/basin/,David A. Basin,"[""ai"",""mlmining"",""sec"",""log"",""mod""]"
University of Massachusetts - Amherst,https://ciir.cs.umass.edu/~allan/,James Allan,"[""ai"",""nlp"",""ir""]"
University of Massachusetts - Amherst,https://www.cics.umass.edu/faculty/directory/corner_mark,Mark D. Corner,"[""mobile"",""chi"",""comm"",""ops""]"
Rochester Institute of Technology,http://www.google.com/search?q=Matthew%20T.%20Fluet%20Rochester%20Institute%20of%20Technology&btnI,Matthew T. Fluet,
